,SLNO,PL No.,DESCRIPTION,TAGS
41,42,11169291,"Bush for equaliser for WDG3A locos DLW Pt No.11169291,DLW drg.no- TPL-5428,Alt-c.","['bush', 'for', 'equaliser', 'for', 'wdg3a', 'locos', 'dlw', 'pt', 'no', '11169291', 'dlw', 'drg', 'no', 'tpl', '5428', 'alt', 'c']"
42,43,11169382,TRUNION FOR BRAKE FOUNDATION,"['trunion', 'for', 'brake', 'foundation']"
43,44,11180079,PIN EQUALISER OF CYLINDER LEVER,"['pin', 'equaliser', 'of', 'cylinder', 'lever']"
44,45,11250112,SHOE LOADING PAD DLW Pt No.11250112.,"['shoe', 'loading', 'pad', 'dlw', 'pt', 'no', '11250112']"
45,46,11250173,BRAKE HEAD WITH BUSHING,"['brake', 'head', 'with', 'bushing']"
46,47,11250197,ARM FRICTION OUT SIDE,"['arm', 'friction', 'out', 'side']"
47,48,11250203,FRICTION ARM LH,"['friction', 'arm', 'lh']"
48,49,11272624,"ANTI VIBRATION RUBBER PAD FOR WDM2 ENGINE,","['anti', 'vibration', 'rubber', 'pad', 'for', 'wdm2', 'engine']"
49,50,11272818,"RUBBER BUSH FOR CENTER PIVOT ARRANGEMENT WDG3A' RDSO DRG NO SKVL-266,ALT-3","['rubber', 'bush', 'for', 'center', 'pivot', 'arrangement', 'wdg3a', 'rdso', 'drg', 'no', 'skvl', '266', 'alt', '3']"
50,51,11273446,"Side Bearer for WDG3A,","['side', 'bearer', 'for', 'wdg3a']"
51,52,11328460,HOSE ASSLY FOR AIR BRAKE COUPLING FOR BP TYPE,"['hose', 'assly', 'for', 'air', 'brake', 'coupling', 'for', 'bp', 'type']"
52,53,11328472,HOSE ASSLY FOR AIR BRAKE COUPLING FP TYPE,"['hose', 'assly', 'for', 'air', 'brake', 'coupling', 'fp', 'type']"
53,54,11360010,"Valve A9 independent brake vlv asly, WABCO Part No.564140, WABCO test Spec No.T-2559-0,","['valve', 'a9', 'independent', 'brake', 'vlv', 'asly', 'wabco', 'part', 'no', '564140', 'wabco', 'test', 'spec', 'no', 't', '2559', '0']"
54,55,11360021,"Valve SA9 independent brake vlv asly, WABCO Part No. 564141, WABCO test spec No. T -2555-0.","['valve', 'sa9', 'independent', 'brake', 'vlv', 'asly', 'wabco', 'part', 'no', '564141', 'wabco', 'test', 'spec', 'no', 't', '2555', '0']"
55,56,11360033,VALVE MU2B,"['valve', 'mu2b']"
56,57,11360045,HS-4 CONTROL AIR VALVE assly,"['hs', '4', 'control', 'air', 'valve', 'assly']"
57,58,11360057,VALVE F1 SELECTOR,"['valve', 'f1', 'selector']"
58,59,11360100,VALVEHB-5 AIR RELAY,"['valvehb', '5', 'air', 'relay']"
